  N5      40.4 (ref.3)
  N4      41.9 (ref.3)
  N3     103.3 (ref.3)
  N2     103.3 (ref.3)
  N1     169.4 (ref.3)
  M5     573.0 (ref.3)
  M4     583.4 (ref.3)
  M3     820.0 (ref.3)
  M2     870.8 (ref.3)
  M1    1006.0 (ref.3)
  L3    4341.4 (ref.1)
  L2    4612.0 (ref.1)
  L1    4939.2 (ref.1)
  K1   31813.8 (ref.1)
