 PbW Density=11.35
 Energy(eV), Delta, Beta
  7800.47803  2.92248624E-05  3.05819594E-06
  7936.35693  2.82002366E-05  2.87590251E-06
  8074.60352  2.72088382E-05  2.70426949E-06
  8215.25781  2.62495723E-05  2.54284851E-06
  8358.3623  2.53210292E-05  2.39099791E-06
  8503.95996  2.44219736E-05  2.24811401E-06
  8652.09277  2.35513289E-05  2.11371275E-06
  8802.80762  2.27074306E-05  1.98730163E-06
  8956.14746  2.18887944E-05  1.86837224E-06
  9112.15723  2.10941689E-05  1.75649245E-06
  9270.88574  2.03208401E-05  1.65122174E-06
  9432.37793  1.95659559E-05  1.5522379E-06
  9596.68359  1.88263675E-05  1.45913089E-06
  9763.85156  1.80919014E-05  1.37165216E-06
  9933.93262  1.7342807E-05  1.28972204E-06
  10106.9746  1.60737745E-05  1.21167773E-06
  10283.0322  1.57449758E-05  1.83850614E-06
  10462.1562  1.55887028E-05  1.72306568E-06
  10644.4004  1.51519962E-05  1.61487651E-06
  10829.8184  1.4673964E-05  1.5134865E-06
  11018.4678  1.41797518E-05  1.41846078E-06
  11210.4023  1.36720109E-05  1.32941227E-06
  11405.6807  1.31281822E-05  1.24595215E-06
  11604.3604  1.24899107E-05  1.45744559E-06
  11806.501  1.22939109E-05  1.36788003E-06
  12012.1631  1.1848394E-05  1.28379975E-06
  12221.4062  1.14932936E-05  1.32947548E-06
  12434.2959  1.11367262E-05  1.25030203E-06
  12650.8936  1.07413262E-05  1.17575166E-06
  12871.2646  1.02295307E-05  1.10553981E-06
  13095.4736  9.29692851E-06  1.46526054E-06
  13323.5879  9.74309478E-06  1.37588586E-06
  13555.6768  9.51072889E-06  1.29189209E-06
  13791.8076  9.24630876E-06  1.21295307E-06
  14032.0527  8.97096015E-06  1.13877502E-06
  14276.4814  8.69122687E-06  1.06907987E-06
  14525.1689  8.40897792E-06  1.00359478E-06
  14778.1885  8.12213966E-06  9.42084569E-07
  15035.6152  7.81577546E-06  8.84290102E-07
  15297.5264  7.53818586E-06  9.87917701E-07
  15564.  7.35057984E-06  9.29531041E-07
  15835.1152  7.02111356E-06  8.74572379E-07
  16110.9521  6.93069751E-06  8.89340299E-07
  16391.5938  6.73695376E-06  8.36667482E-07
  16677.125  6.53717552E-06  7.87006741E-07
  16967.6309  6.33789205E-06  7.40200278E-07
  17263.1973  6.14124019E-06  6.96090638E-07
  17563.9102  5.94822404E-06  6.54532982E-07
  17869.8613  5.75939703E-06  6.15387137E-07
  18181.1445  5.57507292E-06  5.7851679E-07
  18497.8477  5.39542816E-06  5.43799615E-07
  18820.0684  5.22055643E-06  5.11111637E-07
  19147.9023  5.05047865E-06  4.80342692E-07
  19481.4453  4.88519072E-06  4.51379606E-07
  19820.8008  4.72468673E-06  4.24125972E-07
  20166.0664  4.56891621E-06  3.98481291E-07
  20517.3477  4.41780639E-06  3.74356006E-07
  20874.7461  4.27128089E-06  3.51661697E-07
  21238.3711  4.12924783E-06  3.3031796E-07
  21608.3301  3.99161263E-06  3.10247117E-07
  21984.7344  3.85827661E-06  2.91374761E-07
  22367.6934  3.72914064E-06  2.73630604E-07
  22757.3242  3.60409808E-06  2.56950472E-07
  23153.7422  3.48304638E-06  2.41271408E-07
  23557.0664  3.36587846E-06  2.26535491E-07
  23967.4141  3.25248948E-06  2.12687112E-07
  24384.9121  3.14276826E-06  1.99672982E-07
  24809.6816  3.03661818E-06  1.87445693E-07
  25241.8516  2.9339401E-06  1.75957837E-07
  25681.5469  2.83463169E-06  1.65166085E-07
  26128.9023  2.73858996E-06  1.55028744E-07
  26584.0527  2.6457185E-06  1.45507215E-07
  27047.1289  2.55592408E-06  1.36564893E-07
  27518.2754  2.46910849E-06  1.28166974E-07
  27997.625  2.38518078E-06  1.20281044E-07
  28485.3262  2.30405203E-06  1.12876222E-07
  28981.5215  2.22563517E-06  1.05923661E-07
  29486.3613  2.14984175E-06  9.93961962E-08
  29999.9961  2.07659036E-06  9.32681132E-08
