 UO2 Density=10.96
 Energy(eV), Delta, Beta
  826.268555  0.00121204159  0.00103061239
  840.661621  0.00121281459  0.00102269906
  855.30542  0.00121294323  0.0010004841
  870.204285  0.00121036591  0.000977823394
  885.362732  0.00120930572  0.000953134266
  900.785156  0.00120669638  0.000922002189
  916.476318  0.00119943288  0.000888505485
  932.440674  0.001189303  0.000854332582
  948.683228  0.00117594609  0.000819857873
  965.208679  0.00115854805  0.000789064565
  982.021973  0.00114393677  0.000764407974
  999.128296  0.00113833207  0.000741447555
  1016.53247  0.00116553006  0.00071579928
  1034.23975  0.00112069689  0.000620269217
  1052.25549  0.00107192411  0.000594382989
  1070.58521  0.00104466814  0.000570962438
  1089.23413  0.00101885851  0.000545658928
  1108.20789  0.000993195339  0.000521335925
  1127.51208  0.000968053937  0.000498110428
  1147.15271  0.000943400548  0.000475933542
  1167.13525  0.000919219048  0.000454755937
  1187.46606  0.000895505422  0.000434529386
  1208.151  0.000872268109  0.000415213348
  1229.19629  0.00084952754  0.000396764342
  1250.60803  0.00082731375  0.000379141682
  1272.39282  0.000805675634  0.00036230401
  1294.55713  0.000784762553  0.000346215122
  1317.10754  0.00076488062  0.000330571289
  1340.05066  0.000745182799  0.000314296019
  1363.39343  0.000725221063  0.000298582192
  1387.14294  0.000705239014  0.000283657602
  1411.30615  0.000685483741  0.000269482814
  1435.89014  0.000666026957  0.000256018655
  1460.90234  0.000646915694  0.0002432295
  1486.35034  0.000628181733  0.000231078317
  1512.2417  0.000609847251  0.000219530601
  1538.58398  0.000591927557  0.000208559446
  1565.38513  0.000574442733  0.000198139373
  1592.6532  0.000557417457  0.000188241102
  1620.39624  0.000540911453  0.000178839735
  1648.62244  0.000525053183  0.000169807157
  1677.34033  0.00050954218  0.000160693133
  1706.55859  0.000494125125  0.000151915228
  1736.28577  0.00047888991  0.000143615776
  1766.53088  0.000463954755  0.000135768263
  1797.30261  0.00044934469  0.000128349449
  1828.6106  0.000435075461  0.000121336103
  1860.46387  0.000421156175  0.00011470649
  1892.87195  0.000407590967  0.000108439795
  1925.84448  0.000394380884  0.000102515965
  1959.39148  0.000381525228  9.69162866E-05
  1993.52283  0.000369020214  9.16227291E-05
  2028.24878  0.000356861739  8.6620712E-05
  2063.57959  0.000345048407  8.18890912E-05
  2099.52588  0.000333573174  7.74161454E-05
  2136.09814  0.000322431297  7.31874825E-05
  2173.30762  0.000311617361  6.91902897E-05
  2211.16528  0.000301127264  6.54114119E-05
  2249.68262  0.000290962169  6.18391205E-05
  2288.87061  0.000281120854  5.84333175E-05
  2328.74097  0.000271561032  5.51659978E-05
  2369.30615  0.000262247137  5.20667309E-05
  2410.57812  0.000253190228  4.9141272E-05
  2452.56885  0.000244392315  4.63805663E-05
  2495.29102  0.000235848551  4.37749368E-05
  2538.75757  0.000227550394  4.13155358E-05
  2582.98096  0.000219493726  3.89943125E-05
  2627.9751  0.000211670995  3.68036126E-05
  2673.75244  0.000204074386  3.47360983E-05
  2720.32764  0.000196695401  3.27847702E-05
  2767.71411  0.00018952509  3.09430616E-05
  2815.92578  0.000182553849  2.92046825E-05
  2864.97754  0.000175771478  2.75640996E-05
  2914.88354  0.000169166757  2.60156339E-05
  2965.65894  0.000162722135  2.45541578E-05
  3017.31885  0.00015642884  2.31853101E-05
  3069.87866  0.000150280932  2.18994119E-05
  3123.354  0.000144255115  2.06852383E-05
  3177.76074  0.000138338932  1.95348166E-05
  3233.11548  0.000132475019  1.83915545E-05
  3289.43433  0.000126525381  1.72442706E-05
  3346.73413  0.000120378638  1.61685966E-05
  3405.03198  0.000113815098  1.5160017E-05
  3464.3457  0.000106139458  1.42142653E-05
  3524.69238  8.51335717E-05  1.33274571E-05
  3586.09009  8.12376384E-05  3.09524548E-05
  3648.55762  9.44207568E-05  2.84553826E-05
  3712.11328  8.54567697E-05  2.64346108E-05
  3776.77588  8.88830182E-05  3.33661446E-05
  3842.56494  9.14043048E-05  3.17159502E-05
  3909.5  9.02802276E-05  3.01472974E-05
  3977.60107  8.85352347E-05  2.8784958E-05
  4046.88818  8.66007758E-05  2.75712737E-05
  4117.38232  8.45388204E-05  2.63564998E-05
  4189.10498  8.22977381E-05  2.50581888E-05
  4262.07617  7.73142601E-05  2.382399E-05
  4336.31885  7.58545139E-05  2.61145251E-05
  4411.85498  7.66154335E-05  2.4682824E-05
  4488.70654  7.52416963E-05  2.33295796E-05
  4566.89697  7.3588184E-05  2.20339189E-05
  4646.44971  7.1783943E-05  2.07788926E-05
  4727.3877  6.98439253E-05  1.96134042E-05
  4809.73584  6.78706783E-05  1.86036068E-05
  4893.51855  6.59482321E-05  1.76603062E-05
  4978.76025  6.4031723E-05  1.67648122E-05
  5065.48682  6.21057188E-05  1.59148112E-05
  5153.72461  5.97234175E-05  1.51079093E-05
  5243.49951  5.847785E-05  1.49875659E-05
  5334.83789  5.6999841E-05  1.41955288E-05
  5427.76709  5.54251856E-05  1.34453894E-05
  5522.31543  5.38461027E-05  1.27348821E-05
  5618.51074  5.22894079E-05  1.20619934E-05
  5716.38135  5.07634468E-05  1.14055592E-05
  5815.95752  4.92541003E-05  1.07668966E-05
  5917.26758  4.77600188E-05  1.01609958E-05
  6020.34277  4.62908029E-05  9.58923101E-06
  6125.21289  4.4850236E-05  9.04965418E-06
  6231.91016  4.34387257E-05  8.54047084E-06
  6340.46631  4.20487522E-05  8.06258504E-06
  6450.91309  4.06949875E-05  7.63159915E-06
  6563.28418  3.93917289E-05  7.23123321E-06
  6677.6123  3.81309947E-05  6.85188661E-06
  6793.93213  3.69097725E-05  6.49245658E-06
  6912.27832  3.57266545E-05  6.15187582E-06
  7032.68555  3.45807857E-05  5.8291771E-06
  7155.19043  3.34717806E-05  5.52339316E-06
  7279.82959  3.23994609E-05  5.23367498E-06
  7406.63965  3.1372474E-05  4.95916674E-06
  7535.6582  3.03860634E-05  4.67958535E-06
  7666.9248  2.94139318E-05  4.39092173E-06
  7800.47803  2.84536363E-05  4.11792007E-06
  7936.35693  2.75131533E-05  3.86191823E-06
  8074.60352  2.6593154E-05  3.62199694E-06
  8215.25781  2.56912808E-05  3.40286351E-06
  8358.3623  2.48203341E-05  3.21093012E-06
  8503.95996  2.39851597E-05  3.0298404E-06
  8652.09277  2.31802969E-05  2.85896158E-06
  8802.80762  2.24051855E-05  2.69181078E-06
  8956.14746  2.16476365E-05  2.52252448E-06
  9112.15723  2.08982055E-05  2.35960351E-06
  9270.88574  2.01527364E-05  2.21601044E-06
  9432.37793  1.93980413E-05  2.0965133E-06
  9596.68359  1.87318637E-05  2.12090254E-06
  9763.85156  1.82014792E-05  2.02109095E-06
  9933.93262  1.7605149E-05  1.90033563E-06
  10106.9746  1.70259791E-05  1.78619189E-06
  10283.0322  1.6460137E-05  1.67870974E-06
  10462.1562  1.59093815E-05  1.57750355E-06
  10644.4004  1.53742858E-05  1.48223091E-06
  10829.8184  1.48550116E-05  1.39256019E-06
  11018.4678  1.43514681E-05  1.30816773E-06
  11210.4023  1.38634468E-05  1.22875167E-06
  11405.6807  1.33906469E-05  1.15402838E-06
  11604.3604  1.29327409E-05  1.08373956E-06
  11806.501  1.24893577E-05  1.01763021E-06
  12012.1631  1.20601107E-05  9.55449082E-07
  12221.4062  1.16445826E-05  8.96983579E-07
  12434.2959  1.12423459E-05  8.41992915E-07
  12650.8936  1.08530467E-05  7.90303943E-07
  12871.2646  1.04762757E-05  7.41713848E-07
  13095.4736  1.01116102E-05  6.96044481E-07
  13323.5879  9.75863531E-06  6.53115308E-07
  13555.6768  9.41694816E-06  6.1277683E-07
  13791.8076  9.08612219E-06  5.74874434E-07
  14032.0527  8.76571903E-06  5.39262317E-07
  14276.4814  8.45531031E-06  5.05807805E-07
  14525.1689  8.15441945E-06  4.74378851E-07
  14778.1885  7.86255259E-06  4.44865293E-07
  15035.6152  7.57913858E-06  4.17141422E-07
  15297.5264  7.30347347E-06  3.91105829E-07
  15564.  7.03457863E-06  3.66655087E-07
  15835.1152  6.77135949E-06  3.43697707E-07
  16110.9521  6.51188202E-06  3.22146178E-07
  16391.5938  6.25244047E-06  3.01915179E-07
  16677.125  5.98332781E-06  2.82923764E-07
  16967.6309  5.64366337E-06  2.65098237E-07
  17263.1973  5.02340936E-06  5.99993029E-07
  17563.9102  5.38167433E-06  5.62921343E-07
  17869.8613  5.26384974E-06  5.28140902E-07
  18181.1445  5.12073029E-06  4.95511131E-07
  18497.8477  4.96940629E-06  4.64899784E-07
  18820.0684  4.81524876E-06  4.36178652E-07
  19147.9023  4.66046322E-06  4.09234815E-07
  19481.4453  4.50580501E-06  3.83956888E-07
  19820.8008  4.35141692E-06  3.6024332E-07
  20166.0664  4.19578691E-06  3.3799418E-07
  20517.3477  4.03242439E-06  3.17120453E-07
  20874.7461  3.68386986E-06  2.97536104E-07
  21238.3711  3.74872843E-06  3.96230064E-07
  21608.3301  3.59291244E-06  3.72679921E-07
  21984.7344  3.53748146E-06  3.98587673E-07
  22367.6934  3.46105935E-06  3.75796247E-07
  22757.3242  3.36371272E-06  3.54230565E-07
  23153.7422  3.26450504E-06  3.33836169E-07
  23557.0664  3.16563228E-06  3.14550817E-07
  23967.4141  3.0680128E-06  2.96324458E-07
  24384.9121  2.97209044E-06  2.79100476E-07
  24809.6816  2.87822058E-06  2.6283152E-07
  25241.8516  2.78656285E-06  2.47468989E-07
  25681.5469  2.69720522E-06  2.3296613E-07
  26128.9023  2.61019886E-06  2.19278704E-07
  26584.0527  2.52556674E-06  2.06364433E-07
  27047.1289  2.44330954E-06  1.94183187E-07
  27518.2754  2.36341134E-06  1.8269597E-07
  27997.625  2.28585282E-06  1.71865139E-07
  28485.3262  2.21060168E-06  1.6165616E-07
  28981.5215  2.13763883E-06  1.5203436E-07
  29486.3613  2.06723485E-06  1.42968517E-07
  29999.9961  1.99716396E-06  1.34428348E-07
