#clock speed (MHz),Performance,,,Utilization - CXP,,,,,,ML Performance,,"ML Performance (row < 54, no suspiciously narrow/wide)",,"AggreGATOR stats (image prediction = mean(row predictions + offset), tossing out nonsensical rows)",,
#
#1	 ,2    ,    3           ,4           ,   5,     6,  7,     8,     9, 10, 11, 12, 13,14 ,15 ,16 , 17 
#250,throughput,latency (cycles),latency (ns),# Nodes,LUT,DSP,RAMB18,RAMB36,Reg,MSE,MAE,MSE,MAE,MSE,MAE,Avg Variance for Image
#1	 ,2,3 ,4 ,5, 6    , 7     , 8   , 9   , 10   , 11 , 12 , 13,14 ,15   ,16  , 17 
Hypercube_16_2,,23,92,,1.20%,11.29%,0.00%,0.00%,1.06%,75166,204.3,2934,21.6,346.54,9.78,435846.1
Hypercube_4_3,,23,92,,1.22%,11.29%,0.00%,0.00%,1.02%,15966,54.5,1764,19.0,140.28,7.68,436954.38
Hypercube_4_4,,23,92,,1.08%,11.29%,0.00%,0.00%,1.01%,14024,44.2,2263,22.1,320.42,7.03,264918.48
Hypercube_4_5,,23,92,,3.06%,11.29%,0.00%,0.00%,2.32%,12844,39.3,1979,14.9,188.49,4.01,265803
Hypercube_8_3,,23,92,,1.30%,11.29%,0.00%,0.00%,1.08%,19563,51.6,1954,16.3,473.54,6.35,263208.27
Hypercube_8_4,,23,92,,1.16%,11.29%,0.00%,0.00%,1.11%,16430,60.6,2331,17.5,508.89,7.03,262981.85
Hypercube_8_2_2,,68,272,,12.71%,83.29%,0.00%,0.00%,9.09%,,,917,11.0,350,5.03,264610
Hypercube_8_2_3,,96,384,,14.21%,96.47%,0.00%,0.00%,10.19%,,,969,13.2,572.12,6.97,260983.17
Hypercube_8_2_4,,123,492,,15.45%,109.65%,0.00%,0.00%,11.22%,,,903,11.5,355.36,4.59,263891
Hypercube_8_3_2,,74,296,,18.85%,141.18%,0.00%,0.00%,13.86%,,,1208,15.5,485.37,5.75,262796.44
Hypercube_8_3_3,,106,424,,22.89%,177.18%,0.00%,0.00%,16.69%,,,1480,16.5,277.93,5.02,264433.53
Hypercube_8_3_4,,137,548,,27.37%,213.18%,0.00%,0.00%,19.76%,,,1415,15.7,463.88,5.81,262927.22
Hypercube_8_4_2,,75,300,,27.17%,219.29%,0.00%,0.00%,18.65%,,,1385,15.8,460.37,5.82,263135.5
Hypercube_8_4_3,,108,432,,35.82%,298.35%,0.00%,0.00%,25.99%,,,1437,16.3,459.72,6,263133.32
Hypercube_8_4_4,,140,560,,46.05%,377.41%,0.00%,0.00%,32.74%,,,1351,15.8,369,5.56,263624.52
Hypercube_8_4_7,,239,956,,73.51%,614.59%,0.00%,0.00%,51.58%,,,1184,9.7,381.02,4.8,264305.52
Hypercube_8_6_7,,,,,,,,,,,,397,5.1,133.15,2.81,265968.54
Hypercube_8_8_3,,,,,,,,,,,,678,7,236.33,3.58,265170.69
Hypercube_8_8_4,,,,,,,,,,,,960,11.8,300.77,5.78,264251.6
Hypercube_8_8_5,,,,,,,,,,,,448,5.3,159.26,3,265787.33
Hypercube_8_8_6,,,,,,,,,,,,397,4.7,154.22,2.88,265740.73
Hypercube_8_8_7,,,,,,,,,,,,1067,7.9,370.23,4.46,263875.32
Hypercube_8_8_8,,,,,,,,,,,,1032,7.9,263.88,3.78,265049.25
Polyfit_2,,13,52,,0.26%,2.12%,0.00%,0.00%,0.18%,25017,67.6,1915,25.2,2822.86,22.66,528326.28
Polyfit_3,,26,104,,0.41%,3.53%,0.00%,0.00%,0.33%,24566,65.5,1842,24,2514.61,19.78,536576.86
Polyfit_4,,32,128,,0.59%,4.94%,0.00%,0.00%,0.45%,24522,65.6,1841,24,2506.83,19.86,537688.56
AggreGATOR,,58,232,,2.14%,1.18%,0.00%,0.00%,1.90%,,,,,,,
Preprocessing 4x,,33,132,-,10.26%,55.00%,0.00%,0.00%,7.54%,-,-,-,-,,,
