  N3      23.1 (ref.2)
  N2      24.4 (ref.2)
  N1      43.8 (ref.2)
  M5     155.8 (ref.2)
  M4     157.7 (ref.2)
  M3     298.8 (ref.2)
  M2     310.6 (ref.2)
  M1     392.0 (ref.2)
  L3    2080.0 (ref.1)
  L2    2155.5 (ref.1)
  L1    2372.5 (ref.1)
  K1   17036.6 (ref.5)
